action,price,amount,usdc_balance,sol_balance
buy,20.5654,48.5889193537904,0.0,48.5889193537904
sell,23.3748,48.5889193537904,1134.9470457671007,0.0
buy,20.5737,55.12360311524139,0.0,55.12360311524139
sell,24.3846,55.12360311524139,1343.2092935274916,0.0
buy,19.8879,67.4884045850156,0.0,67.4884045850156
sell,23.9814,67.4884045850156,1617.3132683867711,0.0
buy,142.516,11.339787760619172,0.0,11.339787760619172
sell,171.7281,11.339787760619172,1945.9727123872296,0.0
